The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
      20 |   1842 | 111544 | 113386
         |   0.00 |   0.08 |   0.08
         |   1.62 |  98.38 |
         |   0.00 |   0.91 |
---------+--------+--------+
      21 | 226672 |    505 | 227177
         |   0.16 |   0.00 |   0.16
         |  99.78 |   0.22 |
         |   0.17 |   0.00 |
---------+--------+--------+
      22 | 165537 |    426 | 165963
         |   0.12 |   0.00 |   0.12
         |  99.74 |   0.26 |
         |   0.13 |   0.00 |
---------+--------+--------+
      23 |   3616 |  78263 |  81879
         |   0.00 |   0.05 |   0.06
         |   4.42 |  95.58 |
         |   0.00 |   0.64 |
---------+--------+--------+
Total     1.311E8  1.231E7  1.434E8
            91.42     8.58   100.00
(Continued)
The SAS System                                                                       21:11 Wednesday, March 27, 2019  10

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      24 |   4667 | 109361 | 114028
         |   0.00 |   0.08 |   0.08
         |   4.09 |  95.91 |
         |   0.00 |   0.89 |
---------+--------+--------+
      25 | 146692 |    495 | 147187
         |   0.10 |   0.00 |   0.10
         |  99.66 |   0.34 |
         |   0.11 |   0.00 |
---------+--------+--------+
      26 |   1471 | 114605 | 116076
         |   0.00 |   0.08 |   0.08
         |   1.27 |  98.73 |
         |   0.00 |   0.93 |
---------+--------+--------+
      27 |  86373 |   1413 |  87786
         |   0.06 |   0.00 |   0.06
         |  98.39 |   1.61 |
         |   0.07 |   0.01 |
---------+--------+--------+
      28 |  68891 |    306 |  69197
         |   0.05 |   0.00 |   0.05
         |  99.56 |   0.44 |
         |   0.05 |   0.00 |
---------+--------+--------+
      29 | 112817 |    358 | 113175
         |   0.08 |   0.00 |   0.08
         |  99.68 |   0.32 |
         |   0.09 |   0.00 |
---------+--------+--------+
      30 |  91021 |   2465 |  93486
         |   0.06 |   0.00 |   0.07
         |  97.36 |   2.64 |
         |   0.07 |   0.02 |
---------+--------+--------+
      31 | 930903 |  73325 |1004228
         |   0.65 |   0.05 |   0.70
         |  92.70 |   7.30 |
         |   0.71 |   0.60 |
---------+--------+--------+
Total     1.311E8  1.231E7  1.434E8
            91.42     8.58   100.00
(Continued)
The SAS System                                                                       21:11 Wednesday, March 27, 2019  11

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      32 | 182434 |    469 | 182903
         |   0.13 |   0.00 |   0.13
         |  99.74 |   0.26 |
         |   0.14 |   0.00 |
---------+--------+--------+
      33 | 264582 |   2127 | 266709
         |   0.18 |   0.00 |   0.19
         |  99.20 |   0.80 |
         |   0.20 |   0.02 |
---------+--------+--------+
      34 | 402461 |   1913 | 404374
         |   0.28 |   0.00 |   0.28
         |  99.53 |   0.47 |
         |   0.31 |   0.02 |
---------+--------+--------+
      35 |  74350 | 203257 | 277607
         |   0.05 |   0.14 |   0.19
         |  26.78 |  73.22 |
         |   0.06 |   1.65 |
---------+--------+--------+
      36 | 298161 |   3086 | 301247
         |   0.21 |   0.00 |   0.21
         |  98.98 |   1.02 |
         |   0.23 |   0.03 |
---------+--------+--------+
